X,Y,wmElementN,wmType,wmLatitude,wmLongitud,icon_url
-93.7966080707518,47.3757591862044,"50107343204",Transformer,47.37585449220,-93.79660034180,./0.png
-93.8988928358105,47.3322165793004,"62011895823",Transformer,47.33230972290,-93.89888000490,./0.png
-93.679201681859,47.4136324351015,"62011895836",Transformer,47.41372680660,-93.67919158940,./0.png
-93.6786536840363,47.4141774340661,"62011895825",Transformer,47.41427230830,-93.67864227290,./0.png
-93.6698527174281,47.4143074345513,"62011895826",Transformer,47.41440200810,-93.66984558110,./0.png
-93.8163489005172,47.3473522218273,"51209412498",Transformer,47.34744644170,-93.81633758540,./0.png
-93.7126055486483,47.3770065049932,"61911463948",Transformer,47.37710189820,-93.71259307860,./0.png
-93.7347202303617,47.3691184766251,"21610307706",Transformer,47.36921310420,-93.73471069340,./0.png
-93.88202991008,47.3630481864906,XFMR310274,Transformer,47.36314392090,-93.88201904300,./0.png
-93.9384081885121,47.2734989417141,"71811102388",Transformer,47.27359390260,-93.93840026860,./0.png
-93.922663744057,47.3207386003364,"41810997665",Transformer,47.32083129880,-93.92265319820,./0.png
-93.7892901723721,47.351878724162,"41810997663",Transformer,47.35197448730,-93.78927612300,./0.png
-93.858120714885,47.3568356722512,"71811102364",Transformer,47.35692977910,-93.85810852050,./0.png
-94.0294834010813,47.4548959645755,GB521595,Transformer,47.45499038700,-94.02947235110,./0.png
-93.7092569576091,47.3770570523177,"60608269915",Transformer,47.37715148930,-93.70924377440,./0.png
-93.7453280330358,47.361939882394,00A084810,Transformer,47.36203384400,-93.74531555180,./0.png
-93.7447105551064,47.3621844859402,"41811009121",Transformer,47.36227798460,-93.74469757080,./0.png
-94.064980521131,47.5015465405032,"1909",Transformer,47.50164031980,-94.06497192380,./0.png
-93.9318514742661,47.3224259411715,"41710660015",Transformer,47.32252120970,-93.93183898930,./0.png
-93.707940635014,47.3846906520026,"61710719452",Transformer,47.38478469850,-93.70793151860,./0.png
-93.935095726818,47.3258858779795,"71710756388",Transformer,47.32598114010,-93.93508911130,./0.png
-93.9355526991914,47.3257428813366,"61710719475",Transformer,47.32583618160,-93.93553924560,./0.png
-93.8014402052812,47.3365765780707,"51510115797",Transformer,47.33666992190,-93.80142974850,./0.png
-93.9688281354001,47.4097794164509,"61710719425",Transformer,47.40987396240,-93.96881866460,./0.png
-93.7932862149244,47.3576255134117,"51510115784",Transformer,47.35771942140,-93.79327392580,./0.png
