X,Y,wmElementN,wmType,wmDeviceTy,wmDevice_1,wmDevice_2,wmDevice_3,wmLightTab,wmLightT_1,wmLatitude,wmLongitud,icon_url
-93.7916448884616,47.3682997790785,54-4-25913-F1,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.36839294430,-93.79163360600,./0.png
-93.9021177898751,47.2666697041009,54-2-27925-F1,Device,Fuse,,,Fuse,20T,100 Amp Tube,47.26676559450,-93.90210723880,./0.png
-93.9034348668773,47.3277507332826,54-2-25836-F1,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.32784652710,-93.90342712400,./0.png
-93.9229871052307,47.321826374144,54-2-27902-F2,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.32192230220,-93.92297363280,./0.png
-93.9879002942113,47.4562545858466,54-3-23716-F1,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.45634841920,-93.98789215090,./0.png
-93.8964617041363,47.3289308994754,54-2-25931-F1,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.32902526860,-93.89645385740,./0.png
-93.9410968594986,47.3308035089146,54-2-25835-F2,Device,Fuse,Fuse,,,12T,100 Amp Tube,47.33089828490,-93.94108581540,./0.png
-94.0513078840517,47.4881631137468,54-3-23601-F1,Device,Fuse,,Fuse,,12T,100 Amp Tube,47.48825836180,-94.05130004880,./0.png
-94.0307332033526,47.454860927477,54-3-23719-F1,Device,Fuse,Fuse,,,12T,100 Amp Tube,47.45495605470,-94.03072357180,./0.png
-93.7463754198579,47.3714125385747,54-4-23935-F9,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.37150573730,-93.74636840820,./0.png
-93.8618796533736,47.3686072466521,54-4-25920-F1,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36870193480,-93.86186981200,./0.png
-93.8937387684613,47.3724364394923,54-3-25918-F1,Device,Fuse,,Fuse,Fuse,25T,100 Amp Tube,47.37253189090,-93.89373016360,./0.png
-93.9878845220629,47.4463119993443,54-3-23721-F1,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.44640731810,-93.98787689210,./0.png
-93.9980470291044,47.4176967465372,54-3-23732-F1,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.41778945920,-93.99803924560,./0.png
-93.7580367133393,47.3714618477893,54-4-23934-F1,Device,Fuse,,,Fuse,30T,100 Amp Tube,47.37155532840,-93.75802612300,./0.png
-94.0227359755881,47.455006323234,54-3-23719-F2,Device,Fuse,Fuse,,,20T,100 Amp Tube,47.45510101320,-94.02272796630,./0.png
-93.9506616864131,47.4117978944437,54-3-25803-F1,Device,Fuse,Fuse,,,15T,100 Amp Tube,47.41189193730,-93.95065307620,./0.png
-93.9398386051233,47.3299547233227,54-2-25835-F3,Device,Fuse,Fuse,,,12T,100 Amp Tube,47.33004760740,-93.93982696530,./0.png
-93.8168163991364,47.3392277457073,54-3-25926-F1,Device,Fuse,,Fuse,,30T,100 Amp Tube,47.33932113650,-93.81680297850,./0.png
-93.7466771385848,47.3935557141913,54-4-23926-F1,Device,Fuse,,,Fuse,25T,100 Amp Tube,47.39365005490,-93.74666595460,./0.png
-93.8590029586293,47.3690488425023,54-4-25916-F1,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36914443970,-93.85899353030,./0.png
-93.891372097434,47.3717701754248,54-3-25918-F2,Device,Fuse,Fuse,,,25T,100 Amp Tube,47.37186431880,-93.89136505130,./0.png
-93.8410819495959,47.3683526031387,54-4-25921-F2,Device,Fuse,Fuse,,,30T,100 Amp Tube,47.36844635010,-93.84107208250,./0.png
